Group	Sample	Bin	Score
IAPEy-int.filt.bed	E13.5	1	0.21557053201970444
IAPEy-int.filt.bed	E13.5	2	0.21589112807881775
IAPEy-int.filt.bed	E13.5	3	0.21859187192118226
IAPEy-int.filt.bed	E13.5	4	0.21898041379310346
IAPEy-int.filt.bed	E13.5	5	0.22081650246305418
IAPEy-int.filt.bed	E13.5	6	0.22054447290640394
IAPEy-int.filt.bed	E13.5	7	0.21877641379310345
IAPEy-int.filt.bed	E13.5	8	0.2156968275862069
IAPEy-int.filt.bed	E13.5	9	0.2133847093596059
IAPEy-int.filt.bed	E13.5	10	0.2135498620689655
IAPEy-int.filt.bed	E13.5	11	0.21070344827586207
IAPEy-int.filt.bed	E13.5	12	0.21028575862068966
IAPEy-int.filt.bed	E13.5	13	0.2110629408866995
IAPEy-int.filt.bed	E13.5	14	0.2119178078817734
IAPEy-int.filt.bed	E13.5	15	0.21086864532019706
IAPEy-int.filt.bed	E13.5	16	0.21240357142857144
IAPEy-int.filt.bed	E13.5	17	0.2152402709359606
IAPEy-int.filt.bed	E13.5	18	0.21667806403940887
IAPEy-int.filt.bed	E13.5	19	0.21705692118226602
IAPEy-int.filt.bed	E13.5	20	0.21973817733990147
IAPEy-int.filt.bed	E13.5	21	0.22359493596059113
IAPEy-int.filt.bed	E13.5	22	0.22847166009852216
IAPEy-int.filt.bed	E13.5	23	0.23261012807881773
IAPEy-int.filt.bed	E13.5	24	0.23816697044334975
IAPEy-int.filt.bed	E13.5	25	0.24014877832512316
IAPEy-int.filt.bed	E13.5	26	0.24406384236453202
IAPEy-int.filt.bed	E13.5	27	0.24661879802955666
IAPEy-int.filt.bed	E13.5	28	0.24827025615763545
IAPEy-int.filt.bed	E13.5	29	0.25228246305418717
IAPEy-int.filt.bed	E13.5	30	0.25370081280788176
IAPEy-int.filt.bed	E13.5	31	0.2524864975369458
IAPEy-int.filt.bed	E13.5	32	0.25361343349753696
IAPEy-int.filt.bed	E13.5	33	0.2518453300492611
IAPEy-int.filt.bed	E13.5	34	0.24953322167487685
IAPEy-int.filt.bed	E13.5	35	0.24356838916256157
IAPEy-int.filt.bed	E13.5	36	0.24018762068965516
IAPEy-int.filt.bed	E13.5	37	0.2372440985221675
IAPEy-int.filt.bed	E13.5	38	0.23555373891625617
IAPEy-int.filt.bed	E13.5	39	0.2322798620689655
IAPEy-int.filt.bed	E13.5	40	0.22856883743842366
IAPEy-int.filt.bed	E13.5	41	0.22545039408866996
IAPEy-int.filt.bed	E13.5	42	0.22547952216748768
IAPEy-int.filt.bed	E13.5	43	0.2235851724137931
IAPEy-int.filt.bed	E13.5	44	0.21910661083743843
IAPEy-int.filt.bed	E13.5	45	0.2183003251231527
IAPEy-int.filt.bed	E13.5	46	0.218378078817734
IAPEy-int.filt.bed	E13.5	47	0.21769802955665024
IAPEy-int.filt.bed	E13.5	48	0.21952439408866994
IAPEy-int.filt.bed	E13.5	49	0.22014616256157635
IAPEy-int.filt.bed	E13.5	50	0.2224194039408867
IAPEy-int.filt.bed	E13.5	51	0.2240612118226601
IAPEy-int.filt.bed	E13.5	52	0.22671329556650247
IAPEy-int.filt.bed	E13.5	53	0.2274030147783251
IAPEy-int.filt.bed	E13.5	54	0.22822875862068964
IAPEy-int.filt.bed	E13.5	55	0.23135697044334974
IAPEy-int.filt.bed	E13.5	56	0.23183300985221675
IAPEy-int.filt.bed	E13.5	57	0.22802477832512316
IAPEy-int.filt.bed	E13.5	58	0.2245080591133005
IAPEy-int.filt.bed	E13.5	59	0.2246440591133005
IAPEy-int.filt.bed	E13.5	60	0.2252367142857143
IAPEy-int.filt.bed	E13.5	61	0.22275939408866996
IAPEy-int.filt.bed	E13.5	62	0.22170052709359606
IAPEy-int.filt.bed	E13.5	63	0.21991305418719212
IAPEy-int.filt.bed	E13.5	64	0.22262346798029556
IAPEy-int.filt.bed	E13.5	65	0.22222510344827587
IAPEy-int.filt.bed	E13.5	66	0.22422636945812807
IAPEy-int.filt.bed	E13.5	67	0.22358520689655173
IAPEy-int.filt.bed	E13.5	68	0.22234173891625617
IAPEy-int.filt.bed	E13.5	69	0.2220697093596059
IAPEy-int.filt.bed	E13.5	70	0.22064166009852218
IAPEy-int.filt.bed	E13.5	71	0.2213605221674877
IAPEy-int.filt.bed	E13.5	72	0.22265259113300492
IAPEy-int.filt.bed	E13.5	73	0.22419725615763547
IAPEy-int.filt.bed	E13.5	74	0.22310918719211822
IAPEy-int.filt.bed	E13.5	75	0.22329377339901477
IAPEy-int.filt.bed	E13.5	76	0.2247218275862069
IAPEy-int.filt.bed	E13.5	77	0.22382807389162562
IAPEy-int.filt.bed	E13.5	78	0.22354633990147782
IAPEy-int.filt.bed	E13.5	79	0.22194339901477833
IAPEy-int.filt.bed	E13.5	80	0.22270115763546797
IAPEy-int.filt.bed	E13.5	81	0.22339089162561576
IAPEy-int.filt.bed	E13.5	82	0.22139933497536946
IAPEy-int.filt.bed	E13.5	83	0.21922327093596058
IAPEy-int.filt.bed	E13.5	84	0.2178729261083744
IAPEy-int.filt.bed	E13.5	85	0.21812546798029556
IAPEy-int.filt.bed	E13.5	86	0.21512362068965518
IAPEy-int.filt.bed	E13.5	87	0.2152693842364532
IAPEy-int.filt.bed	E13.5	88	0.2152110738916256
IAPEy-int.filt.bed	E13.5	89	0.21566762068965517
IAPEy-int.filt.bed	E13.5	90	0.21418128078817733
IAPEy-int.filt.bed	E13.5	91	0.21466702955665024
IAPEy-int.filt.bed	E13.5	92	0.214152118226601
IAPEy-int.filt.bed	E13.5	93	0.21343325615763548
IAPEy-int.filt.bed	E13.5	94	0.21316126108374384
IAPEy-int.filt.bed	E13.5	95	0.21130573891625615
IAPEy-int.filt.bed	E13.5	96	0.21139316256157636
IAPEy-int.filt.bed	E13.5	97	0.21412304433497537
IAPEy-int.filt.bed	E13.5	98	0.2155025172413793
IAPEy-int.filt.bed	E13.5	99	0.21582308374384238
IAPEy-int.filt.bed	E13.5	100	0.214395
IAPEy-int.filt.bed	E13.5	101	0.2194272660098522
IAPEy-int.filt.bed	E13.5	102	0.22086500985221674
IAPEy-int.filt.bed	E13.5	103	0.222399960591133
IAPEy-int.filt.bed	E13.5	104	0.22202106896551724
IAPEy-int.filt.bed	E13.5	105	0.221787921182266
IAPEy-int.filt.bed	E13.5	106	0.21940782266009853
IAPEy-int.filt.bed	E13.5	107	0.21735803448275862
IAPEy-int.filt.bed	E13.5	108	0.21571625615763548
IAPEy-int.filt.bed	E13.5	109	0.21442420689655173
IAPEy-int.filt.bed	E13.5	110	0.21347215763546798
IAPEy-int.filt.bed	E13.5	111	0.2100816896551724
IAPEy-int.filt.bed	E13.5	112	0.20656498522167488
IAPEy-int.filt.bed	E13.5	113	0.204107118226601
IAPEy-int.filt.bed	E13.5	114	0.20162015763546798
IAPEy-int.filt.bed	E13.5	115	0.20039611822660097
IAPEy-int.filt.bed	E13.5	116	0.19617017241379311
IAPEy-int.filt.bed	E13.5	117	0.19812285714285716
IAPEy-int.filt.bed	E13.5	118	0.1957815763546798
IAPEy-int.filt.bed	E13.5	119	0.1935277684729064
IAPEy-int.filt.bed	E13.5	120	0.1955873103448276
IAPEy-int.filt.bed	E13.5	121	0.1967724827586207
IAPEy-int.filt.bed	E13.5	122	0.19958004433497537
IAPEy-int.filt.bed	E13.5	123	0.20537974384236454
IAPEy-int.filt.bed	E13.5	124	0.20807072906403942
IAPEy-int.filt.bed	E13.5	125	0.20980967980295567
IAPEy-int.filt.bed	E13.5	126	0.21561910344827587
IAPEy-int.filt.bed	E13.5	127	0.21929119704433497
IAPEy-int.filt.bed	E13.5	128	0.22564468472906404
IAPEy-int.filt.bed	E13.5	129	0.23119179802955664
IAPEy-int.filt.bed	E13.5	130	0.23526227586206896
IAPEy-int.filt.bed	E13.5	131	0.23768122167487685
IAPEy-int.filt.bed	E13.5	132	0.23731208374384236
IAPEy-int.filt.bed	E13.5	133	0.23748694581280788
IAPEy-int.filt.bed	E13.5	134	0.2405568275862069
IAPEy-int.filt.bed	E13.5	135	0.23955615763546798
IAPEy-int.filt.bed	E13.5	136	0.24262601477832513
IAPEy-int.filt.bed	E13.5	137	0.24513240886699508
IAPEy-int.filt.bed	E13.5	138	0.24432613793103447
IAPEy-int.filt.bed	E13.5	139	0.24349066502463054
IAPEy-int.filt.bed	E13.5	140	0.24191687684729063
IAPEy-int.filt.bed	E13.5	141	0.2412951330049261
IAPEy-int.filt.bed	E13.5	142	0.23863330541871922
IAPEy-int.filt.bed	E13.5	143	0.23780755172413792
IAPEy-int.filt.bed	E13.5	144	0.2365155024630542
IAPEy-int.filt.bed	E13.5	145	0.23627266502463054
IAPEy-int.filt.bed	E13.5	146	0.23731212315270936
IAPEy-int.filt.bed	E13.5	147	0.23632123152709358
IAPEy-int.filt.bed	E13.5	148	0.23628234975369458
IAPEy-int.filt.bed	E13.5	149	0.23695264039408867
IAPEy-int.filt.bed	E13.5	150	0.23708866502463055
IAPEy-int.filt.bed	E13.5	151	0.2368166305418719
IAPEy-int.filt.bed	E13.5	152	0.23595204926108373
IAPEy-int.filt.bed	E13.5	153	0.2351748472906404
IAPEy-int.filt.bed	E13.5	154	0.23782701970443348
IAPEy-int.filt.bed	E13.5	155	0.2365446748768473
IAPEy-int.filt.bed	E13.5	156	0.23602003940886698
IAPEy-int.filt.bed	E13.5	157	0.24025566502463055
IAPEy-int.filt.bed	E13.5	158	0.23980883743842366
IAPEy-int.filt.bed	E13.5	159	0.24109116748768472
IAPEy-int.filt.bed	E13.5	160	0.24243181773399014
IAPEy-int.filt.bed	E13.5	161	0.24569595073891626
IAPEy-int.filt.bed	E13.5	162	0.24898924137931033
IAPEy-int.filt.bed	E13.5	163	0.25172877832512314
IAPEy-int.filt.bed	E13.5	164	0.25022304926108374
IAPEy-int.filt.bed	E13.5	165	0.25071849261083745
IAPEy-int.filt.bed	E13.5	166	0.25105847783251234
IAPEy-int.filt.bed	E13.5	167	0.2501549802955665
IAPEy-int.filt.bed	E13.5	168	0.24977614778325122
IAPEy-int.filt.bed	E13.5	169	0.24794976354679804
IAPEy-int.filt.bed	E13.5	170	0.24842579802955664
IAPEy-int.filt.bed	E13.5	171	0.2470171724137931
IAPEy-int.filt.bed	E13.5	172	0.24770691625615762
IAPEy-int.filt.bed	E13.5	173	0.2463856945812808
IAPEy-int.filt.bed	E13.5	174	0.2467354433497537
IAPEy-int.filt.bed	E13.5	175	0.24825090147783252
IAPEy-int.filt.bed	E13.5	176	0.24706571921182266
IAPEy-int.filt.bed	E13.5	177	0.24440389162561577
IAPEy-int.filt.bed	E13.5	178	0.2436752906403941
IAPEy-int.filt.bed	E13.5	179	0.24510333990147784
IAPEy-int.filt.bed	E13.5	180	0.24902808374384236
IAPEy-int.filt.bed	E13.5	181	0.24643429556650245
IAPEy-int.filt.bed	E13.5	182	0.24477304926108373
IAPEy-int.filt.bed	E13.5	183	0.24787204433497537
IAPEy-int.filt.bed	E13.5	184	0.2492515221674877
IAPEy-int.filt.bed	E13.5	185	0.2501161379310345
IAPEy-int.filt.bed	E13.5	186	0.2480469064039409
IAPEy-int.filt.bed	E13.5	187	0.24661884236453202
IAPEy-int.filt.bed	E13.5	188	0.24434554679802956
