Group	Sample	Bin	Score
L1Md_A.O.bed	H3K4me3	91	-0.049760717073170736
L1Md_A.O.bed	H3K4me3	92	-0.05259133170731707
L1Md_A.O.bed	H3K4me3	93	-0.0647881268292683
L1Md_A.O.bed	H3K4me3	94	-0.07004354634146341
L1Md_A.O.bed	H3K4me3	95	-0.07333903902439025
L1Md_A.O.bed	H3K4me3	96	-0.08366529756097561
L1Md_A.O.bed	H3K4me3	97	-0.08258096585365854
L1Md_A.O.bed	H3K4me3	98	-0.08121265365853658
L1Md_A.O.bed	H3K4me3	99	-0.07787421463414634
L1Md_A.O.bed	H3K4me3	100	-0.07581103902439025
L1Md_A.O.bed	H3K4me3	101	-0.07407081951219512
L1Md_A.O.bed	H3K4me3	102	-0.078268
L1Md_A.O.bed	H3K4me3	103	-0.08439879024390244
L1Md_A.O.bed	H3K4me3	104	-0.09379326341463415
L1Md_A.O.bed	H3K4me3	105	-0.09547298048780488
L1Md_A.O.bed	H3K4me3	106	-0.09949014146341463
L1Md_A.O.bed	H3K4me3	107	-0.09940375609756098
L1Md_A.O.bed	H3K4me3	108	-0.09917631707317073
L1Md_A.O.bed	H3K4me3	109	-0.0985933512195122
L1Md_A.O.bed	H3K4me3	110	-0.08894021463414635
L1Md_A.O.bed	H3K4me3	111	-0.08671183902439024
L1Md_A.O.bed	H3K4me3	112	-0.09397867804878049
L1Md_A.O.bed	H3K4me3	113	-0.09318478048780487
L1Md_A.O.bed	H3K4me3	114	-0.09384135121951219
L1Md_A.O.bed	H3K4me3	115	-0.09130390243902439
L1Md_A.O.bed	H3K4me3	116	-0.08265888780487805
L1Md_A.O.bed	H3K4me3	117	-0.08285349756097561
L1Md_A.O.bed	H3K4me3	118	-0.08557254146341464
L1Md_A.O.bed	H3K4me3	119	-0.0900004243902439
L1Md_A.O.bed	H3K4me3	120	-0.0923087512195122
L1Md_A.O.bed	H3K4me3	121	-0.09338826829268293
L1Md_A.O.bed	H3K4me3	122	-0.0885674487804878
L1Md_A.O.bed	H3K4me3	123	-0.08118546829268293
L1Md_A.O.bed	H3K4me3	124	-0.08335200487804878
L1Md_A.O.bed	H3K4me3	125	-0.08528078048780488
L1Md_A.O.bed	H3K4me3	126	-0.08573985365853659
L1Md_A.O.bed	H3K4me3	127	-0.08810598048780488
L1Md_A.O.bed	H3K4me3	128	-0.09237409268292683
L1Md_A.O.bed	H3K4me3	129	-0.09225904390243903
L1Md_A.O.bed	H3K4me3	130	-0.09668306829268293
L1Md_A.O.bed	H3K4me3	131	-0.09368217073170731
L1Md_A.O.bed	H3K4me3	132	-0.08913003902439025
L1Md_A.O.bed	H3K4me3	133	-0.08585448292682928
L1Md_A.O.bed	H3K4me3	134	-0.08635446341463415
L1Md_A.O.bed	H3K4me3	135	-0.08713489268292683
L1Md_A.O.bed	H3K4me3	136	-0.0817252
L1Md_A.O.bed	H3K4me3	137	-0.07673781463414635
L1Md_A.O.bed	H3K4me3	138	-0.07230801951219512
L1Md_A.O.bed	H3K4me3	139	-0.06905741951219513
L1Md_A.O.bed	H3K4me3	140	-0.07125709268292683
L1Md_A.O.bed	H3K4me3	141	-0.07057766341463415
L1Md_A.O.bed	H3K4me3	142	-0.06479459024390244
L1Md_A.O.bed	H3K4me3	143	-0.06341046829268293
L1Md_A.O.bed	H3K4me3	144	-0.059451443902439026
L1Md_A.O.bed	H3K4me3	145	-0.06395609268292683
L1Md_A.O.bed	H3K4me3	146	-0.07184542926829268
L1Md_A.O.bed	H3K4me3	147	-0.07603242926829268
L1Md_A.O.bed	H3K4me3	148	-0.07735448292682927
L1Md_A.O.bed	H3K4me3	149	-0.0808662780487805
L1Md_A.O.bed	H3K4me3	150	-0.0874851756097561
L1Md_A.O.bed	H3K4me3	151	-0.08612332195121951
L1Md_A.O.bed	H3K4me3	152	-0.09122738536585366
L1Md_A.O.bed	H3K4me3	153	-0.0805902487804878
L1Md_A.O.bed	H3K4me3	154	-0.07996745365853658
L1Md_A.O.bed	H3K4me3	155	-0.08100690243902439
L1Md_A.O.bed	H3K4me3	156	-0.08073053170731707
L1Md_A.O.bed	H3K4me3	157	-0.08041759024390244
L1Md_A.O.bed	H3K4me3	158	-0.08308431219512195
L1Md_A.O.bed	H3K4me3	159	-0.08487540975609756
L1Md_A.O.bed	H3K4me3	160	-0.08727817073170732
L1Md_A.O.bed	H3K4me3	161	-0.07706024390243903
L1Md_A.O.bed	H3K4me3	162	-0.07256936097560976
L1Md_A.O.bed	H3K4me3	163	-0.07210014146341463
L1Md_A.O.bed	H3K4me3	164	-0.07086575121951219
L1Md_A.O.bed	H3K4me3	165	-0.07317250243902439
L1Md_A.O.bed	H3K4me3	166	-0.07302560975609756
L1Md_A.O.bed	H3K4me3	167	-0.0760967756097561
L1Md_A.O.bed	H3K4me3	168	-0.07631808780487805
L1Md_A.O.bed	H3K4me3	169	-0.07580399512195121
L1Md_A.O.bed	H3K4me3	170	-0.07553799024390244
L1Md_A.O.bed	H3K4me3	171	-0.07773329268292684
L1Md_A.O.bed	H3K4me3	172	-0.08164126341463415
L1Md_A.O.bed	H3K4me3	173	-0.08885995609756098
L1Md_A.O.bed	H3K4me3	174	-0.09451365853658536
L1Md_A.O.bed	H3K4me3	175	-0.0950642975609756
L1Md_A.O.bed	H3K4me3	176	-0.09435311219512195
L1Md_A.O.bed	H3K4me3	177	-0.10691004390243902
L1Md_A.O.bed	H3K4me3	178	-0.10339813170731707
L1Md_A.O.bed	H3K4me3	179	-0.10408910731707317
L1Md_A.O.bed	H3K4me3	180	-0.10725721951219512
L1Md_A.O.bed	H3K4me3	181	-0.10169298048780488
L1Md_A.O.bed	H3K4me3	182	-0.09290373170731707
L1Md_A.O.bed	H3K4me3	183	-0.09143623902439024
L1Md_A.O.bed	H3K4me3	184	-0.0854961756097561
L1Md_A.O.bed	H3K4me3	185	-0.08127366829268293
L1Md_A.O.bed	H3K4me3	186	-0.08464173658536585
L1Md_A.O.bed	H3K4me3	187	-0.08721775609756098
L1Md_A.O.bed	H3K4me3	188	-0.09198595609756098
L1Md_A.O.bed	H3K4me3	189	-0.09875368292682928
L1Md_A.O.bed	H3K4me3	190	-0.10080688292682927
L1Md_A.O.bed	H3K4me3	191	-0.09867316585365854
L1Md_A.O.bed	H3K4me3	192	-0.09818105853658536
L1Md_A.O.bed	H3K4me3	193	-0.10132361463414634
L1Md_A.O.bed	H3K4me3	194	-0.0994119219512195
L1Md_A.O.bed	H3K4me3	195	-0.09924906341463414
L1Md_A.O.bed	H3K4me3	196	-0.1036094
L1Md_A.O.bed	H3K4me3	197	-0.10503677560975609
L1Md_A.O.bed	H3K4me3	198	-0.10821232682926829
L1Md_A.O.bed	H3K4me3	199	-0.10834659024390245
L1Md_A.O.bed	H3K4me3	200	-0.10211973170731707
L1Md_A.O.bed	H3K4me3	201	-0.09492062926829269
L1Md_A.O.bed	H3K4me3	202	-0.09015755121951219
L1Md_A.O.bed	H3K4me3	203	-0.08675538536585366
L1Md_A.O.bed	H3K4me3	204	-0.0950358243902439
L1Md_A.O.bed	H3K4me3	205	-0.09148773170731707
L1Md_A.O.bed	H3K4me3	206	-0.08755822439024391
L1Md_A.O.bed	H3K4me3	207	-0.09056878048780488
L1Md_A.O.bed	H3K4me3	208	-0.08597122926829269
L1Md_A.O.bed	H3K4me3	209	-0.07380682926829268
L1Md_A.O.bed	H3K4me3	210	-0.07147654634146342
L1Md_A.O.bed	H3K4me3	211	-0.07226479512195122
L1Md_A.O.bed	H3K4me3	212	-0.06800215609756098
L1Md_A.O.bed	H3K4me3	213	-0.06555382926829269
L1Md_A.O.bed	H3K4me3	214	-0.06877741951219513
L1Md_A.O.bed	H3K4me3	215	-0.06495509268292683
L1Md_A.O.bed	H3K4me3	216	-0.06574981463414634
L1Md_A.O.bed	H3K4me3	217	-0.06024489268292683
L1Md_A.O.bed	H3K4me3	218	-0.060171853658536584
L1Md_A.O.bed	H3K4me3	219	-0.05470443902439025
L1Md_A.O.bed	H3K4me3	220	-0.05538373170731707
L1Md_A.O.bed	H3K4me3	221	-0.07897910731707317
L1Md_A.O.bed	H3K4me3	222	-0.08497822926829268
L1Md_A.O.bed	H3K4me3	223	-0.0865753512195122
L1Md_A.O.bed	H3K4me3	224	-0.08558962439024391
L1Md_A.O.bed	H3K4me3	225	-0.08704349756097561
L1Md_A.O.bed	H3K4me3	226	-0.07913400487804878
L1Md_A.O.bed	H3K4me3	227	-0.0768952243902439
L1Md_A.O.bed	H3K4me3	228	-0.07264026829268293
L1Md_A.O.bed	H3K4me3	229	-0.07712112682926829
L1Md_A.O.bed	H3K4me3	230	-0.08231739512195121
