Sample	Accession	Merged
WT_E135_ATAC_1	SRR8029742	WT_E135_ATAC
WT_E135_ATAC_2	SRR8029743	WT_E135_ATAC
WT_E175_ATAC_1	SRR8029744	WT_E175_ATAC
WT_E175_ATAC_2	SRR8029745	WT_E175_ATAC
WT_E195_ATAC_1	SRR8029746	WT_E195_ATAC
WT_E195_ATAC_2	SRR8029747	WT_E195_ATAC
WT_P2_ATAC_1	SRR8029748	WT_P2_ATAC
WT_P2_ATAC_2	SRR8029749	WT_P2_ATAC
